,input,output,output_length,input_length,percentage_decrease,model_name,time
74,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has to
be understood and failure
occurrence must be
eliminated. Target is to
bring F1_testf",110,145,0.2413793103448276,0.3_0.8_4_False_True,2.038548469543457
44,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause
has to be
understood and
failure occurrence
must be eliminated.
Target is",92,145,0.36551724137931035,0.3_0.6_3_True_True,1.4979941844940186
92,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has
to be understood and
failure occurrence must
be eliminated. Target
is to bring F1",104,145,0.2827586206896552,0.3_0.7_4_False_True,1.9338278770446777
122,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause
has to be
understood and
failure occurrence
has to been
eliminated. Target",93,145,0.3586206896551724,0.3_0.6_2_False_True,1.4042165279388428
20,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has
to be understood and
failure occurrence must
be eliminated. Target
is to bring F1",104,145,0.2827586206896552,0.3_0.7_4_True_True,1.7981908321380615
86,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has to
be understood and failure
occurrence has to been
eliminated. Target is to
bring F1_test",113,145,0.2206896551724138,0.3_0.8_2_False_True,1.9378166198730469
104,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has
to be understood and
failure occurrence has
to been eliminated.
Target is to bring F",107,145,0.2620689655172414,0.3_0.7_2_False_True,1.723390817642212
128,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has to
be understood and failure
occurrence must be
eliminated. Target is to
bring F1_testf",110,145,0.2413793103448276,0.3_0.8_4_False_True,2.0415396690368652
50,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause
has to be
understood and
failure occurrence
has to been
eliminated. Target",93,145,0.3586206896551724,0.3_0.6_2_True_True,1.4202027320861816
14,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,"Failure root cause has to
be understood and failure
occurrence has to been
eliminated. Target is to
bring F1_test",113,145,0.2206896551724138,0.3_0.8_2_True_True,1.9388153553009033
