,input,output,output_length,input_length,percentage_decrease,model_name,time
36,All parts produced within 70°+25° specification,All parts produced within 70°+25° specification,47,47,0.0,0.3_0.6_2_True_True,0.0
6,Reference 8D ES191216231144 for follow up actions,Reference 8D ES191216231144 for follow up actions,49,49,0.0,0.3_0.6_2_True_True,0.0
22,- Product functionality remains post air-air thermal shock testing,- Product functionality remains post air-air thermal shock testing,66,66,0.0,0.3_0.6_2_True_True,0.0
34,"Spray angle ranging from 36,7° to 69,0°O PV parts (spec allow 70°+25°)","Spray angle ranging from 36,7° to 69,0°O PV parts (spec allow 70°+25°)",70,70,0.0,0.3_0.6_2_True_True,0.0
19,Yokoten : history deliver to further project via UDS test method with GDS mobile,Yokoten : history deliver to further project via UDS test method with GDS mobile,80,80,0.0,0.3_0.6_2_True_True,0.0
45,Expand the visual defect lesson learn into PFMEA. Expand the this lesson learn to other VB supplier.,Expand the visual defect lesson learn into PFMEA. Expand the this lesson learn to other VB supplier.,100,100,0.0,0.3_0.6_2_True_True,0.0
18,"The select lever position information via UDS $22 is normally displayed as ""D"" with modified SW (6VA610)","The select lever position information via UDS $22 is normally displayed as ""D"" with modified SW (6VA610)",104,104,0.0,0.3_0.6_2_True_True,0.0
47,Sporadic CAN frame dropouts existing in Pre-SW-versions of SE1 Delivery of SW SE1500 to customer VW stopped,Sporadic CAN frame dropouts existing in Pre-SW-versions of SE1 Delivery of SW SE1500 to customer VW stopped,107,107,0.0,0.3_0.6_2_True_True,0.0
2,Twenty four of twenty-four injectors successfully pass test bench mechanical durability per S1297 in RSG E-10,Twenty four of twenty-four injectors successfully pass test bench mechanical durability per S1297 in RSG E-10,109,109,0.0,0.3_0.6_2_True_True,0.0
41,Confirm the root cause in supplier side and implement prevention action in production line. B. Find Root cause of Problem / Issue,Confirm the root cause in supplier side and implement prevention action in production line. B. Find Root cause of Problem / Issue,129,129,0.0,0.3_0.6_2_True_True,0.0
9,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,Failure root cause has to be understood and failure occurrence has to be eliminated. Target is to bring F1_testfails to zero % at customer plants,145,145,0.0,0.3_0.6_2_True_True,0.0
29,Goal is to analyze the ECU hardware and the affected B88 software and the calibration data to fix both issues (immobilizer sync & reprogramming).,Goal is to analyze the ECU hardware and the affected B88 software and the calibration data to fix both issues (immobilizer sync & reprogramming).,145,145,0.0,0.3_0.6_2_True_True,0.0
